Index,Address,Lat,Lon
128,31st & Woodrow St S,38.8375425,-77.0949801
129,33rd & Water St NW,38.9034595,-77.0660625
130,34th & Water St NW,38.9038723,-77.0677325
131,34th St & Minnesota Ave SE,38.8836252,-76.9575399
132,34th St & Wisconsin Ave NW,38.915761,-77.067795
133,36th & Calvert St NW / Glover Park,38.922542,-77.0708934
134,37th & O St NW / Georgetown University,38.9076089,-77.0722585
135,39th & Calvert St NW / Stoddert,38.922672,-77.078913
136,39th & Veazey St NW,38.9439722,-77.0770392
137,3rd & D St SE,38.885072,-77.002041
138,3rd & Elm St NW,38.9175043,-77.0159591
139,3rd & G St SE,38.881271,-77.002043
140,3rd & H St NE,38.9001669,-77.0020433
141,3rd & H St NW,38.8998042,-77.0152406
142,3rd & Tingey St SE,38.8748943,-77.002046
143,3rd & Underwood St NW,38.9686299,-77.016176
144,3rd St & Pennsylvania Ave SE,38.8871908,-77.0020442
145,3rd St & Riggs Rd NE,38.9567958,-77.0023113
146,47th & Elm St,38.9824169,-77.0921213
147,4th & Adams St NE,38.9202449,-77.00057
148,4th & D St NW / Judiciary Square,38.8966372,-77.0174033
149,4th & E St SW,38.8832315,-77.0175659
150,4th & East Capitol St NE,38.8898071,-77.0005768
151,4th & Kennedy St NW,38.956505,-77.017812
152,4th & M St SW,38.8765178,-77.0176403
153,4th & W St NE,38.9191778,-77.0005713
154,4th St & Madison Dr NW,38.8905995,-77.0175703
155,4th St & Massachusetts Ave NW,38.9002548,-77.0162036
156,4th St & Rhode Island Ave NE,38.9196866,-77.0005787
157,5th & F St NW,38.8973331,-76.9995099
158,5th & F St NW,38.8973331,-76.9995099
159,5th & K St NW,38.9025277,-77.0189305
160,5th & Kennedy St NW,38.956449,-77.019887
161,5th St & K St NW,38.9025277,-77.0189305
162,5th St & Massachusetts Ave NW,38.9011267,-77.0189292
163,61st St & Banks Pl NE,38.891968,-76.913663
164,6th & H St NE,38.9001999,-76.9984457
165,6th & K St NE,38.9025086,-76.9984503
166,6th & S Ball St,38.8647431,-77.0485242
167,6th & Water St SW / SW Waterfront,38.8756806,-77.0207704
168,6th St & Indiana Ave NW,38.8944099,-77.0199075
169,7th & E St SW,38.8832442,-77.0219776
170,7th & F St NW / National Portrait Gallery,38.8978692,-77.0230529
171,7th & F St NW/Portrait Gallery,38.8978692,-77.0230529
172,7th & R St NW / Shaw Library,38.9124112,-77.0225472
173,7th & T St NW,38.915572,-77.021919
174,7th & Water St SW / SW Waterfront,38.8783204,-77.0234716
175,8th & D St NW,38.8947972,-77.0229688
176,8th & East Capitol St NE,38.8898051,-76.9949648
177,8th & Eye St SE / Barracks Row,38.880156,-76.995319
178,8th & F St NE,38.897333,-76.994965
179,8th & F St NW,38.897203,-77.0229632
180,8th & F St NW / National Portrait Gallery,38.8978692,-77.0230529
181,8th & H St NW,38.899814,-77.022948
182,8th & O St NW,38.9085753,-77.0229408
183,9th & Upshur St NW,38.9418787,-77.025066
184,Adams Mill & Columbia Rd NW,38.9226795,-77.0426674
185,Alabama & MLK Ave SE,38.8430486,-77.0001708
186,Alta Tech Office,39.106687,-77.191315
187,Amherst Ave & Elkins St,39.0448874,-77.0479774
188,Amherst Ave & Prichard Rd,39.036479,-77.048362
189,Anacostia Ave & Benning Rd NE / River Terrace ,38.894207,-76.9603453
190,Anacostia Library,38.8659805,-76.9785383
191,Anacostia Metro,38.8621812,-76.995218
192,Arlington Blvd & Fillmore St,38.8734136,-77.0893726
193,Arlington Blvd & N Queen St,38.889507,-77.0776458
194,Arlington Blvd & S George Mason Dr/NFATC,38.8677749,-77.1017128
195,Army Navy Dr & S Nash St,38.8617441,-77.0680608
196,Aurora Hills Community Ctr/18th & Hayes St,38.8575326,-77.0591731
197,Ballenger Ave & Dulaney St,38.8025955,-77.063438
198,Ballston Metro / N Stuart & 9th St N,38.8819077,-77.1114255
199,Barcroft Community Center,38.8505757,-77.1020507
200,Barton St & 10th St N,38.8845427,-77.0877325
201,Battery Ln & Trolley Trail,38.9924247,-77.1000078
202,Benning Branch Library,38.894099,-76.947765
203,Benning Rd & East Capitol St NE / Benning Rd Metro,38.890022,-76.937348
204,Bethesda Ave & Arlington Blvd,38.980846,-77.0984085
205,Bethesda Ave & Arlington Rd,38.980846,-77.0984085
206,Bethesda Metro,38.984403,-77.0939966
207,Bladensburg Rd & Benning Rd NE,38.9001822,-76.9832565
208,Braddock Rd Metro,38.8140201,-77.0537762
209,Branch & Pennsylvania Ave SE,38.869291,-76.960383
210,Broschart & Blackwell Rd,39.1018048,-77.2003707
211,C & O Canal & Wisconsin Ave NW,38.9323439,-77.0725777
212,California St & Florida Ave NW,38.9177788,-77.0404218
213,Calvert & Biltmore St NW,38.9232654,-77.0473443
214,Calvert St & Woodley Pl NW,38.923468,-77.0503647
215,Carlin Springs Rd & N Thomas St,38.8768393,-77.1128827
216,Carroll & Ethan Allen Ave,38.9780496,-77.0060803
217,Carroll & Westmoreland Ave,38.9750224,-77.0116891
218,Central Library / N Quincy St & 10th St N,38.8837948,-77.1072897
219,Clarendon Blvd & N Fillmore St,38.8878759,-77.0931288
220,Clarendon Blvd & Pierce St,38.8934465,-77.0765872
221,Clarendon Metro / Wilson Blvd & N Highland St,38.8871081,-77.0952076
222,Columbia Pike & S Courthouse Rd,38.8642729,-77.0803354
223,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,38.8562886,-77.1121946
224,Columbia Pike & S Orme St,38.8664388,-77.0719669
225,Columbia Pike & S Walter Reed Dr,38.8625516,-77.0870545
226,Columbia Rd & Belmont St NW,38.9205903,-77.0439444
227,Columbia Rd & Georgia Ave NW,38.9281258,-77.023104
